i,j,k,l,AAAA,AAAB,AABA,AABB,AABC,ABAA,ABAB,ABAC,ABBA,BAAA,ABBC,CABC,BACA,BCAA,ABCD
5,4,3,1,731034,29756,29697,18168,1757,45126,2573,1399,2611,122101,3466,1405,3447,7203,257
5,4,3,2,736589,24201,24366,23742,1514,45895,2022,1181,2064,123279,2835,1144,2828,8129,211
5,4,1,2,736477,24254,24478,23703,1500,45938,2069,1135,2069,123249,2803,1096,2811,8209,209
5,3,1,2,757451,18709,25033,8005,690,24964,8057,692,1991,143031,2450,619,4062,4125,121
4,3,1,2,832577,20558,27291,7836,706,27149,7852,716,1427,67905,1165,640,2009,2109,60
5,4,1,3,731034,29697,29756,18168,1757,45126,2611,1405,2573,122101,3447,1399,3466,7203,257
5,3,4,1,731034,29756,45126,2573,1399,29697,18168,1757,2611,122101,3466,1405,7203,3447,257
5,3,1,4,731034,45126,29756,2573,1399,29697,2611,1405,18168,122101,7203,1757,3466,3447,257
5,1,4,3,731034,29697,45126,2611,1405,29756,18168,1757,2573,122101,3447,1399,7203,3466,257
5,1,3,4,731034,45126,29697,2611,1405,29756,2573,1399,18168,122101,7203,1757,3447,3466,257
4,5,3,1,731034,29756,29697,18168,1757,122101,2611,3466,2573,45126,1399,3447,1405,7203,257
4,5,1,3,731034,29697,29756,18168,1757,122101,2573,3447,2611,45126,1405,3466,1399,7203,257
4,3,5,1,731034,29756,122101,2611,3466,29697,18168,1757,2573,45126,1399,3447,7203,1405,257
4,3,1,5,731034,122101,29756,2611,3466,29697,2573,3447,18168,45126,7203,1757,1399,1405,257
4,1,5,3,731034,29697,122101,2573,3447,29756,18168,1757,2611,45126,1405,3466,7203,1399,257
4,1,3,5,731034,122101,29697,2573,3447,29756,2611,3466,18168,45126,7203,1757,1405,1399,257
3,5,4,1,731034,29756,45126,2573,1399,122101,2611,3466,18168,29697,1757,7203,1405,3447,257
3,5,1,4,731034,45126,29756,2573,1399,122101,18168,7203,2611,29697,1405,3466,1757,3447,257
3,4,5,1,731034,29756,122101,2611,3466,45126,2573,1399,18168,29697,1757,7203,3447,1405,257
3,4,1,5,731034,122101,29756,2611,3466,45126,18168,7203,2573,29697,3447,1399,1757,1405,257
3,1,5,4,731034,45126,122101,18168,7203,29756,2573,1399,2611,29697,1405,3466,3447,1757,257
3,1,4,5,731034,122101,45126,18168,7203,29756,2611,3466,2573,29697,3447,1399,1405,1757,257
1,5,4,3,731034,29697,45126,2611,1405,122101,2573,3447,18168,29756,1757,7203,1399,3466,257
1,5,3,4,731034,45126,29697,2611,1405,122101,18168,7203,2573,29756,1399,3447,1757,3466,257
1,4,5,3,731034,29697,122101,2573,3447,45126,2611,1405,18168,29756,1757,7203,3466,1399,257
1,4,3,5,731034,122101,29697,2573,3447,45126,18168,7203,2611,29756,3466,1405,1757,1399,257
1,3,5,4,731034,45126,122101,18168,7203,29697,2611,1405,2573,29756,1399,3447,3466,1757,257
1,3,4,5,731034,122101,45126,18168,7203,29697,2573,3447,2611,29756,3466,1405,1399,1757,257
5,4,2,3,736589,24366,24201,23742,1514,45895,2064,1144,2022,123279,2828,1181,2835,8129,211
5,3,4,2,736589,24201,45895,2022,1181,24366,23742,1514,2064,123279,2835,1144,8129,2828,211
5,3,2,4,736589,45895,24201,2022,1181,24366,2064,1144,23742,123279,8129,1514,2835,2828,211
5,2,4,3,736589,24366,45895,2064,1144,24201,23742,1514,2022,123279,2828,1181,8129,2835,211
5,2,3,4,736589,45895,24366,2064,1144,24201,2022,1181,23742,123279,8129,1514,2828,2835,211
4,5,3,2,736589,24201,24366,23742,1514,123279,2064,2835,2022,45895,1181,2828,1144,8129,211
4,5,2,3,736589,24366,24201,23742,1514,123279,2022,2828,2064,45895,1144,2835,1181,8129,211
4,3,5,2,736589,24201,123279,2064,2835,24366,23742,1514,2022,45895,1181,2828,8129,1144,211
4,3,2,5,736589,123279,24201,2064,2835,24366,2022,2828,23742,45895,8129,1514,1181,1144,211
4,2,5,3,736589,24366,123279,2022,2828,24201,23742,1514,2064,45895,1144,2835,8129,1181,211
4,2,3,5,736589,123279,24366,2022,2828,24201,2064,2835,23742,45895,8129,1514,1144,1181,211
3,5,4,2,736589,24201,45895,2022,1181,123279,2064,2835,23742,24366,1514,8129,1144,2828,211
3,5,2,4,736589,45895,24201,2022,1181,123279,23742,8129,2064,24366,1144,2835,1514,2828,211
3,4,5,2,736589,24201,123279,2064,2835,45895,2022,1181,23742,24366,1514,8129,2828,1144,211
3,4,2,5,736589,123279,24201,2064,2835,45895,23742,8129,2022,24366,2828,1181,1514,1144,211
3,2,5,4,736589,45895,123279,23742,8129,24201,2022,1181,2064,24366,1144,2835,2828,1514,211
3,2,4,5,736589,123279,45895,23742,8129,24201,2064,2835,2022,24366,2828,1181,1144,1514,211
2,5,4,3,736589,24366,45895,2064,1144,123279,2022,2828,23742,24201,1514,8129,1181,2835,211
2,5,3,4,736589,45895,24366,2064,1144,123279,23742,8129,2022,24201,1181,2828,1514,2835,211
